Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:
"Raw steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2R.S,IP.N3311A2R.S
"Raw steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2R.N,IP.N3311A2R.N
"Coke and products  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2F.S,IP.G3311A2F.S
"Coke and products  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3311A2F.N,IP.G3311A2F.N
"Construction steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2B.S,IP.N3311A2B.S
"Construction steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2B.N,IP.N3311A2B.N
"Consumer durable steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2C.S,IP.N3311A2C.S
"Consumer durable steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2C.N,IP.N3311A2C.N
"Can and closure steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2D.S,IP.N3311A2D.S
"Can and closure steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2D.N,IP.N3311A2D.N
"Equipment steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2E.S,IP.N3311A2E.S
"Equipment steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2E.N,IP.N3311A2E.N
"Miscellaneous steel  (NAICS = 3311,2pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2Z.S,IP.N3311A2Z.S
"Miscellaneous steel  (NAICS = 3311,2pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N3311A2Z.N,IP.N3311A2Z.N
"Nonferrous except foundries  (NAICS = 3313,4); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3313A4.S,IP.G3313A4.S
"Nonferrous except foundries  (NAICS = 3313,4); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3313A4.N,IP.G3313A4.N
Alumina and aluminum production and processing  (NAICS = 3313); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3313.S,IP.G3313.S
Alumina and aluminum production and processing  (NAICS = 3313); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3313.N,IP.G3313.N
Primary aluminum production  (NAICS = 331313pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331313P.S,IP.N331313P.S
Primary aluminum production  (NAICS = 331313pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331313P.N,IP.N331313P.N
Secondary smelting and alloying of aluminum  (NAICS = 331314); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331314.S,IP.N331314.S
Secondary smelting and alloying of aluminum  (NAICS = 331314); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331314.N,IP.N331314.N
"Misc. aluminum materials  (NAICS = 331315,8pt.); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331315A8M.S,IP.N331315A8M.S
"Misc. aluminum materials  (NAICS = 331315,8pt.); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331315A8M.N,IP.N331315A8M.N
Aluminum extruded product  (NAICS = 331318pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331318E.S,IP.N331318E.S
Aluminum extruded product  (NAICS = 331318pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N331318E.N,IP.N331318E.N
Nonferrous metal (except aluminum) production and processing  (NAICS = 3314); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3314.S,IP.G3314.S
Nonferrous metal (except aluminum) production and processing  (NAICS = 3314); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3314.N,IP.G3314.N
Nonferrous metal (except aluminum) smelting and refining  (NAICS = 33141); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33141.S,IP.G33141.S
Nonferrous metal (except aluminum) smelting and refining  (NAICS = 33141); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33141.N,IP.G33141.N
Primary smelting and refining of copper  (NAICS = 33141pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33141C.S,IP.G33141C.S
Primary smelting and refining of copper  (NAICS = 33141pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G33141C.N,IP.G33141C.N
Primary smelting and refining of nonferrous metal (except copper and aluminum)  (NAICS = 33141pt.); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33141N.S,IP.N33141N.S
Primary smelting and refining of nonferrous metal (except copper and aluminum)  (NAICS = 33141pt.); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.N33141N.N,IP.N33141N.N
Foundries  (NAICS = 3315); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3315.S,IP.G3315.S
Foundries  (NAICS = 3315); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3315.N,IP.G3315.N
