index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU4244200017    ,CEU4244200017    ,42442000,17,2006-M03,2022-M01,100.0,91.1,76.4,73.5,73.5,74.6,79.3,84.4,91.8,97.8,99.1,101.1,102.2,96.4,107.9
CEU4244200056    ,CEU4244200056    ,42442000,56,2006-M03,2022-M01,17674.0,16094.0,13549.0,13033.0,13024.0,13310.0,13754.0,14344.0,14994.0,15289.0,15157.0,14971.0,14864.0,12905.0,13976.0
CEU4244200057    ,CEU4244200057    ,42442000,57,2006-M03,2022-M01,316067.0,287784.0,241573.0,232189.0,232236.0,235833.0,250550.0,266749.0,290247.0,309062.0,313333.0,319494.0,323132.0,304562.0,341142.0
CEU4244210002    ,CEU4244210002    ,42442100,2,2006-M03,2022-M01,32.6,32.6,32.6,32.6,32.5,32.9,33.4,34.3,35.0,35.0,34.9,34.9,34.9,34.7,34.7
CEU4244210003    ,CEU4244210003    ,42442100,3,2006-M03,2022-M01,17.52,17.7,18.28,18.7,18.45,18.34,19.03,19.45,20.14,20.99,21.7,22.18,22.24,24.11,25.87
CEU4244210011    ,CEU4244210011    ,42442100,11,2006-M03,2022-M01,570.24,577.97,595.48,610.21,600.23,603.52,636.09,667.88,705.78,734.36,756.66,774.07,776.38,836.48,897.67
CEU4244210012    ,CEU4244210012    ,42442100,12,2006-M03,2022-M01,275.02,268.44,277.57,279.84,266.84,262.86,273.05,282.12,297.78,305.97,308.69,308.26,303.68,323.2,331.28
CEU4244210013    ,CEU4244210013    ,42442100,13,2006-M03,2022-M01,8.45,8.22,8.52,8.58,8.2,7.99,8.17,8.22,8.5,8.75,8.85,8.83,8.7,9.32,9.55
CEU4244210016    ,CEU4244210016    ,42442100,16,2006-M03,2022-M01,100.0,91.9,78.2,75.8,74.6,75.0,76.3,79.3,82.9,83.9,83.4,84.3,83.7,74.1,79.9
CEU4244210017    ,CEU4244210017    ,42442100,17,2006-M03,2022-M01,100.0,92.9,81.6,80.9,78.6,78.5,82.9,88.1,95.3,100.5,103.4,106.7,106.2,102.0,117.9
CEU4244210056    ,CEU4244210056    ,42442100,56,2006-M03,2022-M01,9316.0,8566.0,7281.0,7064.0,6952.0,6984.0,7107.0,7387.0,7720.0,7817.0,7772.0,7852.0,7794.0,6902.0,7439.0
CEU4244210057    ,CEU4244210057    ,42442100,57,2006-M03,2022-M01,163184.0,151646.0,133094.0,132085.0,128294.0,128088.0,135217.0,143689.0,155519.0,164057.0,168660.0,174152.0,173365.0,166396.0,192423.0
CEU4244220002    ,CEU4244220002    ,42442200,2,2006-M03,2022-M01,29.0,28.0,27.8,27.0,26.9,27.8,28.5,28.9,29.5,30.2,29.2,28.2,28.3,29.3,28.7
CEU4244220003    ,CEU4244220003    ,42442200,3,2006-M03,2022-M01,18.29,18.09,17.31,16.77,17.12,17.03,17.35,17.69,18.52,19.4,19.59,20.42,21.18,23.02,22.74
CEU4244220011    ,CEU4244220011    ,42442200,11,2006-M03,2022-M01,529.92,506.59,480.86,452.36,461.1,473.82,494.31,510.78,546.59,585.42,571.21,575.66,598.65,673.85,653.6
CEU4244220012    ,CEU4244220012    ,42442200,12,2006-M03,2022-M01,255.58,235.29,224.14,207.45,204.99,206.37,212.19,215.76,230.61,243.92,233.03,229.25,234.16,260.36,241.21
CEU4244220013    ,CEU4244220013    ,42442200,13,2006-M03,2022-M01,8.82,8.4,8.07,7.69,7.61,7.42,7.45,7.47,7.81,8.08,7.99,8.13,8.28,8.89,8.39
CEU4244220016    ,CEU4244220016    ,42442200,16,2006-M03,2022-M01,100.0,90.1,75.1,71.5,72.6,75.7,79.5,83.2,87.1,89.4,88.4,85.1,84.6,71.9,78.3
CEU4244220017    ,CEU4244220017    ,42442200,17,2006-M03,2022-M01,100.0,89.1,71.0,65.5,67.9,70.4,75.4,80.5,88.1,94.8,94.7,95.0,98.0,90.4,97.3
CEU4244220056    ,CEU4244220056    ,42442200,56,2006-M03,2022-M01,8353.0,7526.0,6271.0,5972.0,6066.0,6320.0,6644.0,6950.0,7273.0,7468.0,7388.0,7110.0,7070.0,6003.0,6538.0
CEU4244220057    ,CEU4244220057    ,42442200,57,2006-M03,2022-M01,152819.0,136107.0,108526.0,100152.0,103825.0,107617.0,115272.0,122954.0,134708.0,144916.0,144710.0,145168.0,149762.0,138191.0,148695.0
CEU4244221002    ,CEU4244221002    ,42442210,2,2006-M03,2022-M01,36.1,35.4,35.9,35.9,35.7,36.3,35.8,36.1,36.9,36.7,36.2,36.1,36.0,34.9,34.9
CEU4244221003    ,CEU4244221003    ,42442210,3,2006-M03,2022-M01,22.14,22.09,21.53,21.37,21.41,21.53,21.63,21.24,21.79,22.4,22.49,23.45,25.69,26.99,28.3
CEU4244221011    ,CEU4244221011    ,42442210,11,2006-M03,2022-M01,798.76,781.62,772.03,768.4,764.05,780.9,773.32,765.89,803.99,822.25,814.64,847.29,925.1,942.84,986.31
CEU4244221012    ,CEU4244221012    ,42442210,12,2006-M03,2022-M01,385.24,363.03,359.86,352.39,339.67,340.12,331.96,323.52,339.21,342.59,332.34,337.42,361.85,364.3,363.99
CEU4244221013    ,CEU4244221013    ,42442210,13,2006-M03,2022-M01,10.68,10.26,10.04,9.8,9.52,9.38,9.28,8.97,9.19,9.33,9.18,9.34,10.05,10.43,10.44
CEU4244221016    ,CEU4244221016    ,42442210,16,2006-M03,2022-M01,100.0,91.0,76.6,70.5,69.2,67.7,67.9,69.9,74.1,75.2,76.1,76.3,75.0,67.9,69.5
CEU4244221017    ,CEU4244221017    ,42442210,17,2006-M03,2022-M01,100.0,90.8,74.5,68.0,67.0,65.8,66.4,67.1,73.0,76.1,77.3,80.9,87.1,82.9,88.9
CEU4244221056    ,CEU4244221056    ,42442210,56,2006-M03,2022-M01,3460.0,3148.0,2650.0,2438.0,2396.0,2341.0,2351.0,2419.0,2565.0,2602.0,2632.0,2641.0,2596.0,2351.0,2406.0
CEU4244221057    ,CEU4244221057    ,42442210,57,2006-M03,2022-M01,76595.0,69532.0,57046.0,52110.0,51299.0,50420.0,50846.0,51385.0,55878.0,58270.0,59190.0,61930.0,66684.0,63461.0,68088.0
CEU4244229002    ,CEU4244229002    ,42442290,2,2006-M03,2022-M01,25.4,24.4,23.9,23.0,23.2,24.5,25.6,26.1,26.6,27.5,26.3,25.0,25.1,26.5,26.1
CEU4244229003    ,CEU4244229003    ,42442290,3,2006-M03,2022-M01,15.58,15.21,14.21,13.6,14.32,14.38,15.01,15.8,16.75,17.8,17.98,18.62,18.57,20.46,19.51
CEU4244229011    ,CEU4244229011    ,42442290,11,2006-M03,2022-M01,396.01,370.57,339.08,312.91,332.61,351.91,385.05,412.04,445.78,490.29,473.23,465.02,466.23,542.75,508.66
CEU4244229012    ,CEU4244229012    ,42442290,12,2006-M03,2022-M01,190.99,172.12,158.05,143.5,147.87,153.27,165.29,174.05,188.08,204.28,193.06,185.19,182.37,209.71,187.72
CEU4244229013    ,CEU4244229013    ,42442290,13,2006-M03,2022-M01,7.51,7.06,6.62,6.24,6.37,6.26,6.44,6.67,7.07,7.42,7.34,7.42,7.26,7.91,7.2
CEU4244229016    ,CEU4244229016    ,42442290,16,2006-M03,2022-M01,100.0,89.5,74.0,72.2,75.0,81.3,87.8,92.6,96.3,99.4,97.2,91.4,91.4,74.7,84.4
CEU4244229017    ,CEU4244229017    ,42442290,17,2006-M03,2022-M01,100.0,87.4,67.5,63.0,69.0,75.0,84.6,93.9,103.5,113.6,112.2,109.2,108.9,98.1,105.7
CEU4244229056    ,CEU4244229056    ,42442290,56,2006-M03,2022-M01,4893.0,4380.0,3621.0,3535.0,3672.0,3979.0,4295.0,4529.0,4710.0,4865.0,4756.0,4471.0,4472.0,3654.0,4131.0
CEU4244229057    ,CEU4244229057    ,42442290,57,2006-M03,2022-M01,76229.0,66598.0,51472.0,48058.0,52561.0,57206.0,64477.0,71541.0,78880.0,86621.0,85505.0,83277.0,83028.0,74772.0,80606.0
CEU4244300002    ,CEU4244300002    ,42443000,2,2006-M03,2022-M01,34.2,33.4,33.6,34.6,35.2,35.6,36.2,36.8,36.3,35.5,34.4,34.9,34.4,34.0,34.3
CEU4244300003    ,CEU4244300003    ,42443000,3,2006-M03,2022-M01,22.31,21.4,20.94,20.98,21.84,23.54,22.7,22.84,24.23,24.41,24.91,25.45,26.4,26.55,26.9
CEU4244300011    ,CEU4244300011    ,42443000,11,2006-M03,2022-M01,763.4,714.02,704.44,726.54,767.88,838.5,822.0,839.84,879.05,866.2,856.21,887.6,908.79,903.28,922.94
CEU4244300012    ,CEU4244300012    ,42443000,12,2006-M03,2022-M01,368.18,331.63,328.35,333.19,341.37,365.21,352.85,354.76,370.88,360.91,349.3,353.47,355.47,349.01,340.61
CEU4244300013    ,CEU4244300013    ,42443000,13,2006-M03,2022-M01,10.76,9.94,9.76,9.62,9.71,10.25,9.74,9.65,10.22,10.17,10.16,10.14,10.33,10.26,9.93
CEU4244300016    ,CEU4244300016    ,42443000,16,2006-M03,2022-M01,100.0,95.4,87.1,90.8,93.1,90.7,90.3,91.8,95.1,93.0,86.7,85.8,81.9,72.5,72.9
CEU4244300017    ,CEU4244300017    ,42443000,17,2006-M03,2022-M01,100.0,91.5,81.7,85.4,91.1,95.7,91.8,93.9,103.3,101.7,96.8,97.8,96.9,86.3,87.9
CEU4244300056    ,CEU4244300056    ,42443000,56,2006-M03,2022-M01,19947.0,19022.0,17370.0,18110.0,18567.0,18101.0,18009.0,18308.0,18974.0,18541.0,17298.0,17111.0,16336.0,14469.0,14548.0
