"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1964-05,418.9,14.6,416.4,15.1,12.5,0.0,0.0,2.1,0.0,13.0,0.0,0.0,0.0,0.0,2.1,0.0
1964-06,422.1,15.1,420.8,15.4,12.9,0.0,0.0,2.2,0.0,13.3,0.0,0.0,0.0,0.0,2.2,0.0
1964-07,425.5,15.4,424.9,15.6,13.2,0.0,0.0,2.2,0.0,13.4,0.0,0.0,0.0,0.0,2.2,0.0
1964-08,429.2,15.7,427.0,15.9,13.5,0.0,0.0,2.2,0.0,13.7,0.0,0.0,0.0,0.0,2.2,0.0
1964-09,433.0,16.2,431.7,16.0,13.9,0.0,0.0,2.3,0.0,13.7,0.0,0.0,0.0,0.0,2.3,0.0
1964-10,435.9,16.8,436.2,16.3,14.5,0.0,0.0,2.3,0.0,14.0,0.0,0.0,0.0,0.0,2.3,0.0
1964-11,439.3,17.3,439.6,16.7,14.9,0.0,0.0,2.4,0.0,14.3,0.0,0.0,0.0,0.0,2.4,0.0
1964-12,442.4,17.6,445.5,17.1,15.2,0.0,0.0,2.4,0.0,14.7,0.0,0.0,0.0,0.0,2.4,0.0
1965-01,445.8,18.3,450.5,18.1,15.9,0.0,0.0,2.4,0.0,15.8,0.0,0.0,0.0,0.0,2.4,0.0
1965-02,449.1,18.6,448.9,18.7,16.4,0.0,0.0,2.3,0.0,16.5,0.0,0.0,0.0,0.0,2.3,0.0
