index,Index,Label,unit,start,last,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU511191511191P              ,PCU511191511191P              ,"PPI industry data for Greeting card publishers-Primary services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M04,,,,,,,100.3,103.2,110.2,113.2,118.0,124.3,128.5,135.9,145.3,151.9,158.3,160.7,166.7,173.2,175.8,179.8,192.1,200.8,206.9,212.3,210.5,214.1,213.8,214.0,214.1,214.5,214.6,214.7,214.4,214.8,215.0,214.7,215.2,216.7,217.4,218.423
PCU511191511191SM             ,PCU511191511191SM             ,"PPI industry data for Greeting card publishers-Other receipts, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,138.7,,143.3,145.3,142.9,141.8,,,,,157.3,,
PCU511199511199               ,PCU511199511199               ,"PPI industry data for All other publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,100.7,104.8,107.4,113.1,116.4,117.3,117.3,119.1,121.2,121.4,123.4,123.7,123.4,123.3,123.3,124.5,124.5,123.632
PCU5111995111996              ,PCU5111995111996              ,"PPI industry data for All other publishers-All other publishing including yearbooks, art prints, patterns, and trading cards, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,100.7,104.9,107.6,113.6,117.2,118.3,118.4,120.2,122.4,122.6,124.8,125.1,124.6,124.4,124.4,125.8,126.0,124.919
PCU511199511199P              ,PCU511199511199P              ,"PPI industry data for All other publishers-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,100.7,104.9,107.6,113.6,117.2,118.3,118.4,120.2,122.4,122.6,124.8,125.1,124.6,124.4,124.4,125.8,126.0,124.919
PCU511199511199SM             ,PCU511199511199SM             ,"PPI industry data for All other publishers-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,101.8,103.2,103.3,108.4,109.7,109.7,109.3,,112.8,112.8,112.8,112.8,114.3,,,,,
PCU5112--5112--               ,PCU5112--5112--               ,"PPI industry group data for Software publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.8,100.1,99.6,100.7,98.9,94.1,94.0,92.6,92.5,92.1,91.1,91.8,92.5,91.9,91.5,92.0,92.393
PCU51121-51121-               ,PCU51121-51121-               ,"PPI industry data for Software publishers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.8,100.1,99.6,100.7,98.9,94.1,94.0,92.6,92.5,92.1,91.1,91.8,92.5,91.9,91.5,92.0,92.393
PCU511210511210               ,PCU511210511210               ,"PPI industry data for Software publishers, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,100.7,100.1,100.8,101.4,98.0,96.9,94.3,94.3,94.6,94.1,95.2,93.5,88.9,88.9,87.5,87.4,87.0,86.1,86.8,87.4,86.8,86.5,87.0,87.33
PCU5112105112105              ,PCU5112105112105              ,"PPI industry data for Software publishers-Software publishing, except games, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.9,99.9,95.8,96.2,94.5,94.2,94.2,93.8,94.6,95.1,95.2,97.2,98.6,99.075
PCU511210511210502            ,PCU511210511210502            ,"PPI industry data for Software publishers-Application software publishing, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,99.1,99.7,103.1,103.8,102.8,97.8,93.7,92.8,94.8,95.6,97.0,97.0,96.8,97.4,97.9,99.6,99.9,98.8,100.0,99.8,100.5,103.8,106.5,107.327
PCU51121051121050201          ,PCU51121051121050201          ,"PPI industry data for Software publishers-Desktop and portable device application software publishing, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.8,99.4,99.5,99.2,98.5,100.3,100.5,97.9,97.2,97.9,97.7,100.2,99.8,99.619
PCU51121051121050202          ,PCU51121051121050202          ,"PPI industry data for Software publishers-Other application software publishing, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,103.4,103.8,103.4,104.9,106.4,108.2,108.4,108.1,110.5,109.9,111.4,115.7,121.7,123.558
PCU511210511210504            ,PCU511210511210504            ,"PPI industry data for Software publishers-Software maintenance, technical support, and other services related to software publishing, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,103.4,107.9,120.4,124.4,137.5,137.6,137.7,139.6,141.2,141.7,143.4,144.2,145.0,147.9,148.3,148.4,149.2,152.9,153.6,154.5,155.8,159.4,160.8,161.525
PCU5112105112107              ,PCU5112105112107              ,"PPI industry data for Software publishers-Game software publishing, not seasonally adjusted",Index base: 2013.12 = 100,2013-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,87.8,88.4,86.7,80.9,79.5,69.7,71.604
PCU511210511210P              ,PCU511210511210P              ,"PPI industry data for Software publishers-Primary services, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2022-M04,,,,,,,,,,,,,,,,,,,100.8,100.3,101.3,102.1,99.2,97.7,94.6,94.0,94.2,93.7,95.1,93.9,89.5,89.5,88.0,87.7,87.5,86.7,87.4,87.7,87.4,89.0,89.7,90.255
PCU511210511210SM             ,PCU511210511210SM             ,"PPI industry data for Software publishers-Other receipts, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2019-M03,,,,,,,,,,,,,,,,,,,100.3,96.3,90.8,88.3,80.6,81.8,81.9,85.1,85.2,85.3,80.9,69.8,63.6,63.5,63.5,64.9,62.7,60.8,61.3,64.8,63.7,,,
