index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5051730011    ,CEU5051730011    ,50517300,11,2006-M03,2022-M04,1118.98,1123.24,1072.03,1122.69,1173.27,1156.68,1167.02,1205.84,1186.63,1211.76,1245.5,1324.4,1389.9,1434.17,1505.27
CEU5051730012    ,CEU5051730012    ,50517300,12,2006-M03,2022-M04,539.68,521.7,499.69,514.86,521.59,503.79,500.96,509.36,500.65,504.89,508.12,527.42,543.66,554.14,555.51
CEU5051730013    ,CEU5051730013    ,50517300,13,2006-M03,2022-M04,13.6,12.99,12.63,12.9,13.28,12.94,12.98,13.04,12.99,13.35,13.37,14.11,14.94,15.21,14.42
CEU5051730016    ,CEU5051730016    ,50517300,16,2006-M03,2022-M04,100.0,101.1,94.4,89.6,85.5,84.3,85.1,84.6,80.7,78.3,76.3,71.5,65.9,63.1,64.5
CEU5051730017    ,CEU5051730017    ,50517300,17,2006-M03,2022-M04,100.0,100.3,90.7,89.4,90.7,88.9,91.3,92.7,88.1,89.1,88.8,89.9,89.4,88.1,89.5
CEU5051730056    ,CEU5051730056    ,50517300,56,2006-M03,2022-M04,34455.0,34820.0,32509.0,30866.0,29473.0,29051.0,29329.0,29156.0,27795.0,26992.0,26306.0,24648.0,22722.0,21732.0,22238.0
CEU5051730057    ,CEU5051730057    ,50517300,57,2006-M03,2022-M04,971144.0,973690.0,881091.0,867979.0,880678.0,863292.0,886713.0,900337.0,855588.0,864862.0,862137.0,873387.0,867735.0,855341.0,868919.0
CEU5051731102    ,CEU5051731102    ,50517311,2,2006-M03,2022-M04,40.1,40.8,40.5,40.8,40.1,39.7,39.3,39.7,39.2,38.3,38.5,37.7,36.6,36.7,39.0
CEU5051731103    ,CEU5051731103    ,50517311,3,2006-M03,2022-M04,26.9,27.44,27.78,28.81,30.44,30.03,30.8,31.82,31.49,32.42,32.83,35.32,38.72,40.68,40.62
CEU5051731111    ,CEU5051731111    ,50517311,11,2006-M03,2022-M04,1077.43,1119.48,1125.41,1175.28,1221.75,1191.09,1210.0,1261.58,1233.15,1240.72,1265.21,1329.98,1417.14,1491.07,1584.68
CEU5051731112    ,CEU5051731112    ,50517311,12,2006-M03,2022-M04,519.64,519.96,524.58,538.98,543.15,518.78,519.41,532.91,520.28,516.95,516.16,529.65,554.31,576.12,584.82
CEU5051731113    ,CEU5051731113    ,50517311,13,2006-M03,2022-M04,12.97,12.74,12.95,13.21,13.53,13.08,13.22,13.44,13.29,13.51,13.39,14.07,15.15,15.72,14.99
CEU5051731116    ,CEU5051731116    ,50517311,16,2006-M03,2022-M04,100.0,102.1,96.7,92.4,88.3,87.9,89.4,89.5,87.3,85.2,83.3,77.5,71.4,68.5,71.1
CEU5051731117    ,CEU5051731117    ,50517311,17,2006-M03,2022-M04,100.0,104.2,99.8,99.0,99.9,98.1,102.3,105.9,102.2,102.7,101.6,101.7,102.8,103.6,107.4
CEU5051731156    ,CEU5051731156    ,50517311,56,2006-M03,2022-M04,26612.0,27183.0,25726.0,24598.0,23488.0,23384.0,23779.0,23818.0,23223.0,22672.0,22161.0,20617.0,19014.0,18237.0,18923.0
CEU5051731157    ,CEU5051731157    ,50517311,57,2006-M03,2022-M04,715914.0,746011.0,714634.0,708577.0,714898.0,702185.0,732290.0,757854.0,731364.0,734918.0,727590.0,728130.0,736313.0,741869.0,768571.0
CEU5051731202    ,CEU5051731202    ,50517312,2,2006-M03,2022-M04,38.5,38.1,36.3,36.8,36.1,36.2,35.8,36.6,35.7,35.6,35.3,36.1,35.4,35.3,35.9
CEU5051731203    ,CEU5051731203    ,50517312,3,2006-M03,2022-M04,32.55,29.81,24.53,25.43,27.69,28.44,27.81,26.69,27.17,30.08,32.46,36.03,35.44,32.49,30.27
CEU5051731211    ,CEU5051731211    ,50517312,11,2006-M03,2022-M04,1254.14,1135.65,889.85,935.22,999.59,1028.43,997.07,975.94,970.69,1069.51,1146.19,1299.41,1256.43,1147.93,1087.51
CEU5051731212    ,CEU5051731212    ,50517312,12,2006-M03,2022-M04,604.87,527.47,414.78,428.89,444.38,447.93,428.01,412.25,409.54,445.62,467.6,517.47,491.45,443.54,401.34
CEU5051731213    ,CEU5051731213    ,50517312,13,2006-M03,2022-M04,15.7,13.85,11.43,11.66,12.31,12.39,11.94,11.27,11.46,12.53,13.24,14.35,13.86,12.55,11.17
CEU5051731216    ,CEU5051731216    ,50517312,16,2006-M03,2022-M04,100.0,97.4,86.5,79.9,76.2,72.3,70.7,68.1,58.3,55.1,52.8,51.5,47.4,44.6,42.3
CEU5051731217    ,CEU5051731217    ,50517312,17,2006-M03,2022-M04,100.0,89.2,65.2,62.4,64.8,63.2,60.4,55.8,48.7,50.9,52.6,57.0,51.6,44.5,39.3
CEU5051731256    ,CEU5051731256    ,50517312,56,2006-M03,2022-M04,7839.0,7636.0,6779.0,6261.0,5974.0,5671.0,5542.0,5337.0,4572.0,4316.0,4136.0,4039.0,3713.0,3493.0,3314.0
CEU5051731257    ,CEU5051731257    ,50517312,57,2006-M03,2022-M04,255113.0,227660.0,166305.0,159198.0,165407.0,161275.0,154155.0,142422.0,124192.0,129830.0,134247.0,145512.0,131600.0,113483.0,100323.0
CEU5051790002    ,CEU5051790002    ,50517900,2,2006-M03,2022-M04,37.4,37.6,37.8,37.9,38.6,39.1,38.4,38.2,38.3,38.8,38.8,38.3,38.6,38.7,37.6
CEU5051790003    ,CEU5051790003    ,50517900,3,2006-M03,2022-M04,29.42,30.64,32.9,34.49,35.02,33.2,31.81,31.61,33.14,34.09,39.54,41.22,41.65,40.6,39.89
CEU5051790011    ,CEU5051790011    ,50517900,11,2006-M03,2022-M04,1100.73,1152.36,1242.05,1305.93,1352.65,1296.74,1222.27,1206.16,1270.17,1321.91,1535.84,1577.85,1606.1,1572.37,1501.93
CEU5051790012    ,CEU5051790012    ,50517900,12,2006-M03,2022-M04,530.88,535.23,578.94,598.9,601.34,564.8,524.68,509.5,535.9,550.78,626.57,628.36,628.22,607.54,554.28
CEU5051790013    ,CEU5051790013    ,50517900,13,2006-M03,2022-M04,14.19,14.23,15.34,15.82,15.57,14.46,13.65,13.35,13.98,14.2,16.13,16.42,16.29,15.69,14.72
CEU5051790016    ,CEU5051790016    ,50517900,16,2006-M03,2022-M04,100.0,94.3,89.2,80.7,78.0,70.8,59.0,57.5,56.6,55.6,56.5,56.7,57.2,58.2,55.4
CEU5051790017    ,CEU5051790017    ,50517900,17,2006-M03,2022-M04,100.0,98.2,99.7,94.6,92.9,80.0,63.7,61.8,63.7,64.5,75.9,79.5,81.0,80.3,75.1
